neo_alpha,neo_beta,modern_alpha,modern_beta,tech_alpha,tech_beta,brutal_alpha,brutal_beta,bio_alpha,bio_beta,park_alpha,park_beta
1.1769623349679662e-06,3.405692973505203e-07,1.611910761402348e-06,3.1306085256408825e-07,1.486360686990401e-06,3.890939687589754e-07,1.5933704544886216e-06,4.070129503417832e-07,1.5064077481102878e-06,4.0926327031708176e-07,1.1353413005746052e-06,4.789879766669161e-07
5.412308387486162e-07,2.8199669964502385e-07,1.0258118500300013e-06,2.931775213574483e-07,8.747063102087082e-07,2.7236590414078033e-07,7.013455327951136e-07,2.555077086036804e-07,5.891026002319547e-07,2.3134430023871674e-07,5.31248004479466e-07,1.9225449124364985e-07
8.493576480633177e-07,4.3096092872086963e-07,1.5516635166546668e-06,7.672580876515502e-07,1.5516635166546668e-06,7.672580876515502e-07,9.820764493611953e-07,3.083286342844317e-07,9.209090336682937e-07,5.204172708066974e-07,1.2293758346990277e-06,5.241794537400425e-07
8.790391386703866e-07,4.042978829172905e-07,7.212114396556447e-07,5.264785649037316e-07,7.559132994437978e-07,4.0307928345774965e-07,7.559132994437978e-07,4.0307928345774965e-07,1.0120301416626544e-06,6.897989774661762e-07,8.453494497092696e-07,3.573112285045009e-07
1.1267811904803675e-06,3.1301861483459197e-07,7.274571453461298e-07,2.256217273199759e-07,7.031825543778657e-07,2.8932622618970667e-07,9.289261569658833e-07,4.947303506636667e-07,1.1661224710753432e-06,4.986102022562669e-07,1.2972190828870646e-06,3.775485831448185e-07
2.913884658488095e-06,3.823483760255435e-06,1.9061651112034766e-06,4.972760638059179e-07,1.696980620413971e-06,5.046272923042119e-07,1.491668894005307e-06,4.562872342321365e-07,1.142498486669299e-06,4.905008016411552e-07,1.5096430359443738e-06,4.435455264495435e-07
2.421485098432757e-07,1.5195522252067726e-07,5.600132127628156e-07,3.450697304201226e-07,3.8821091657416287e-07,2.0869254644016824e-07,9.140812986887429e-07,4.3793395886949617e-07,1.2500825333300972e-06,1.1601400128725439e-06,5.637289171659143e-07,2.9462013218741687e-07
1.2192978095865808e-06,3.4836271703586326e-07,1.1449878050314048e-06,4.011795564034534e-07,1.186629619610336e-06,5.366890181889787e-07,1.2438529764440942e-06,4.02777516152516e-07,1.4032969452216618e-06,4.569409060258984e-07,1.4032969452216618e-06,4.569409060258984e-07
1.1201634892097636e-06,3.413186630816518e-07,9.71517361439321e-07,5.71402675175966e-07,9.71517361439321e-07,5.71402675175966e-07,9.183546245848472e-07,5.199322154566784e-07,8.514587460617926e-07,3.653136760026961e-07,1.1747613996141762e-06,4.3936012155044944e-07
7.421266971771054e-07,8.077354583379585e-07,2.241270423828961e-06,6.917291019813204e-07,2.241270423828961e-06,6.917291019813204e-07,7.530149369293003e-07,6.290759179077488e-07,7.421266971771054e-07,8.077354583379585e-07,1.5082215529369576e-06,1.1491049713188885e-06
1.1242669847848513e-06,4.895198680523587e-07,1.0856791654970524e-06,3.586805907053975e-07,1.085352179942725e-06,2.6411278079964974e-07,1.085352179942725e-06,2.6411278079964974e-07,9.852812096094045e-07,3.373480827048667e-07,8.542715431284817e-07,3.516162648325416e-07
1.2399262503429305e-06,3.5234645219291445e-07,9.800190671349194e-07,3.1457639905962394e-07,9.800190671349194e-07,3.1457639905962394e-07,1.5437976715351714e-06,4.1521028861946766e-07,8.574150958030014e-07,3.296246482449072e-07,1.593037421263209e-06,4.3617290107233736e-07
7.172034925293095e-07,5.222767032841989e-07,9.677608967496787e-07,4.750297972168297e-07,7.533130095864192e-07,6.018212501001002e-07,9.677608967496787e-07,4.750297972168297e-07,5.184593718491279e-07,4.778899208964248e-07,5.184593718491279e-07,4.778899208964248e-07
8.696850304060384e-07,8.335486597583149e-07,8.212987552565626e-07,4.915801114019142e-07,7.065849308784379e-07,5.741741783604967e-07,1.3273646695121596e-06,6.984970178801275e-07,8.212987552565626e-07,4.915801114019142e-07,7.551880871650802e-07,6.87576729498645e-07
9.325157986016636e-07,4.2327143337235284e-07,9.161322107129636e-07,4.022338257709742e-07,7.993189542436879e-07,3.7936787143463785e-07,9.20535546054333e-07,3.7885802709007537e-07,9.161322107129636e-07,4.022338257709742e-07,1.4289607685319799e-06,3.1636992078726635e-07
5.392542053122535e-07,1.4127520079457944e-06,4.879467636143925e-07,8.80203287529541e-07,4.879467636143925e-07,8.80203287529541e-07,7.041001588018328e-07,8.295143750871007e-07,5.35355487040211e-07,1.3660720658708036e-06,5.35355487040211e-07,1.3660720658708036e-06
6.039210283606818e-07,9.291039850528721e-07,6.117508057864936e-07,9.276926024703185e-07,5.873074773077856e-07,1.237739901368689e-06,5.524248806084794e-07,9.288305451419936e-07,5.265886589313572e-07,6.756330034501512e-07,6.446887828442716e-07,7.160770009277398e-07
6.616625873989431e-07,5.220524919436546e-07,7.983997934333455e-07,4.338812809136702e-07,9.46963234136332e-07,3.678811605329671e-07,8.544540610556567e-07,3.8291920075862817e-07,7.520752440284726e-07,4.472708120986404e-07,8.544540610556567e-07,3.8291920075862817e-07
1.207874185196591e-06,4.2158075256573476e-07,1.3750395056313534e-06,4.676221331858853e-07,1.207874185196591e-06,4.2158075256573476e-07,1.072005196576333e-06,4.15348078118618e-07,1.1091389567252872e-06,5.18090788728262e-07,1.5196920322339968e-06,4.896920817588673e-07
9.999571444185348e-07,5.226028011293909e-07,6.651163716183746e-07,5.293782503962999e-07,5.45562715834318e-07,5.210789279166535e-07,6.855054429696827e-07,4.631036389282904e-07,6.819368190782077e-07,5.019647315450733e-07,7.672905074875544e-07,4.208935018836499e-07
1.4932657066500305e-06,3.6802428717340005e-07,8.77098577660398e-07,3.3977782430667467e-07,9.869692042827791e-07,1.8318142594021566e-07,1.1750502977696218e-06,4.823707521781765e-07,9.024625297927714e-07,2.1876909719236423e-07,1.104791048677076e-06,4.1084954153214546e-07
8.487957351243863e-07,4.6878618266594723e-07,1.5324588951374836e-06,4.1013444033535897e-07,3.26160412300214e-06,4.440286688170319e-07,6.248660590068364e-07,3.619438401730499e-07,7.734126929451157e-07,4.6477960285469314e-07,9.507702032311296e-07,4.4978766269600644e-07
1.1083836339736664e-06,4.529098150055036e-07,8.371124739937639e-07,5.419537763707903e-07,9.709996225005139e-07,4.1291966728932896e-07,7.610825288707499e-07,5.062829880797649e-07,7.553033890038847e-07,4.028913545760691e-07,1.0947251486151156e-06,4.4960529144579554e-07
1.1967199210492707e-06,4.389940915699781e-07,1.494209251200624e-06,5.300829621759818e-07,1.380352377498361e-06,3.7931551714347274e-07,7.740534537719008e-07,4.189576878923971e-07,1.0870633060990654e-06,3.9637407588334573e-07,1.1147214468877293e-06,4.442705613710542e-07
1.1409037165007162e-06,3.514985474613657e-07,9.171589753523659e-07,3.3069993982635063e-07,8.936924308617366e-07,3.24642238825786e-07,9.93015728276872e-07,3.0189438619944136e-07,1.1409037165007162e-06,3.514985474613657e-07,7.683618904441355e-07,2.652023702064355e-07
8.019821531958953e-07,2.6470800410639385e-07,9.39544447286423e-07,1.9041143710474816e-07,7.483287070561275e-07,2.682037543822626e-07,7.146192323027737e-07,2.1489432854954954e-07,8.968206295422754e-07,2.503598168558259e-07,6.783193827058122e-07,2.793376583851566e-07
7.132305573987846e-07,3.6286332918166576e-07,8.324256917636059e-07,4.459325694587711e-07,9.00636849480289e-07,4.657084523765075e-07,7.570846901233831e-07,3.287819910827176e-07,1.0833160097025615e-06,6.090221075381206e-07,1.2769078722308546e-06,3.4247221386773444e-07
8.23392716983794e-07,4.0773985393701936e-07,8.23392716983794e-07,4.0773985393701936e-07,6.711788376813958e-07,4.3579719332836726e-07,8.369990527203857e-07,3.3761172187916616e-07,8.369990527203857e-07,3.3761172187916616e-07,8.77178465961143e-07,4.281894929556047e-07
1.280855247506374e-06,4.683248196817132e-07,1.651443911799148e-06,3.858559985360609e-07,1.4177898241412831e-06,3.6769629734980873e-07,1.3001468863948322e-06,3.850715826121064e-07,1.3526149384568353e-06,3.46942039854644e-07,1.3001468863948322e-06,3.850715826121064e-07
6.480480254600965e-07,4.681030334742699e-07,6.058593812739884e-07,4.501506232213587e-07,6.250935761002705e-07,3.032564995830666e-07,6.245425349996842e-07,4.761727169624684e-07,5.569480101994447e-07,2.532307521164252e-07,5.520772265751191e-07,3.2690722152532034e-07
5.563133739636018e-07,6.04542558676093e-07,1.4128576745841684e-06,4.484080350632536e-07,9.561185509422903e-07,3.79197731778823e-07,7.632672661076523e-07,3.5826787859736657e-07,7.614468352988059e-07,2.4739899292435467e-07,7.614468352988059e-07,2.4739899292435467e-07
1.1148130204376197e-06,4.446269729490341e-07,1.2762324275099409e-06,2.75637088740708e-07,9.348150043859822e-07,5.093462512580699e-07,7.530005358629745e-07,5.341874954045875e-07,1.2762324275099409e-06,2.75637088740708e-07,6.884159786908195e-07,2.706493909994685e-07
6.930371878327936e-07,5.019111976224714e-07,6.616589485631221e-07,5.551331863731418e-07,6.399429142918685e-07,4.808153797833567e-07,4.751622660616043e-07,4.370098621257499e-07,6.399429142918685e-07,4.808153797833567e-07,6.931230497831886e-07,4.822378197088317e-07
7.852960116854555e-07,2.1525485579841483e-07,4.37157845764597e-08,2.2141523916509006e-08,8.03294038809374e-08,1.2906129482129228e-08,1.0504552127026379e-06,4.7366357115577836e-07,8.089475908679363e-07,5.796529260103246e-07,8.015041276468533e-07,4.844156214990254e-07
5.747606591423388e-07,6.392592526484827e-07,6.932708195258497e-07,8.741648928065298e-07,7.618089043804392e-07,7.258405311053443e-07,7.618089043804392e-07,7.258405311053443e-07,5.747606591423388e-07,6.392592526484827e-07,5.450869283415207e-07,9.533565671892379e-07
2.1748468456244927e-06,2.7717479472052287e-07,1.4942953544327819e-06,3.792083295837943e-07,1.1238084299814574e-06,3.920346917015982e-07,1.0254859123686845e-06,4.462427010239098e-07,1.577563784068988e-06,4.6415582976974596e-07,1.805099578975165e-06,4.139920680263209e-07
1.0752105026417002e-06,3.253897561419389e-07,1.2078094493351262e-06,2.4827393388716697e-07,7.764822232678971e-07,4.813523080923358e-07,1.0524131220193854e-06,3.3651370623158996e-07,1.3577416152697823e-06,3.096669180080119e-07,7.764822232678971e-07,4.813523080923358e-07
4.708889655078948e-10,7.865983497351414e-10,1.435676775043616e-09,1.2143684599781266e-09,1.499927226983027e-09,1.363671172559667e-09,1.5832956693971349e-09,1.3415016968578669e-09,1.171879802453947e-09,1.1904782515752357e-09,9.55380499287582e-10,1.1358090592346333e-09
1.2896296583344358e-06,3.8737007385709417e-07,2.0568308330169736e-06,4.487063923349101e-07,1.5047355324848543e-06,5.789957457784315e-07,1.4603189491420966e-06,3.9416571010791416e-07,1.1874640288560623e-06,5.009692867970463e-07,2.0474890303939763e-06,4.6274234516083574e-07
9.221580889397853e-07,8.275975683709972e-07,1.3275382321776107e-06,6.117261186025493e-07,1.0909977468625553e-06,6.286781724376181e-07,1.3275382321776107e-06,6.117261186025493e-07,1.1835001941899643e-06,7.107508797646781e-07,1.1924650215911952e-06,5.132811957501948e-07
6.314687486040403e-07,5.142692972934474e-07,6.599453132281563e-07,3.679507221771832e-07,6.390933530592226e-07,3.50002419904462e-07,6.524472604254071e-07,3.023454373210423e-07,6.230574716717725e-07,4.4994822001398476e-07,6.974187056885163e-07,4.3277348069273997e-07
1.3258349030191967e-06,5.982484211327156e-07,1.029386008937716e-06,5.892967328078446e-07,8.453812847808158e-07,3.894823896901975e-07,1.3830945404321338e-06,5.973203293427556e-07,1.829720923346818e-06,6.926039452338085e-07,6.946217083003477e-07,3.6430795095976063e-07
6.705957464760775e-07,4.1034591702403247e-07,7.475371504160708e-07,4.34035336053655e-07,7.214980955074084e-07,3.3539182740189177e-07,5.280470457902009e-07,2.8747194580681654e-07,6.705957464760775e-07,4.1034591702403247e-07,5.974346143665913e-07,3.159742719811257e-07
2.8554878605354697e-06,6.816411902873676e-07,3.1693570230484403e-06,7.710124755768011e-07,2.527522097824941e-06,7.632455938910862e-07,1.733117476056275e-06,6.319346184082639e-07,5.617210441245042e-06,6.457421442851659e-07,1.4489136863009888e-06,4.21488071325428e-07
7.422155166550229e-07,5.037664725104631e-07,1.0279290294765385e-06,3.7473731120978197e-07,8.504109479047975e-07,3.094377332364625e-07,7.210791193821119e-07,3.5480584784118716e-07,5.460647553120138e-07,2.699456856621679e-07,7.274977054378604e-07,5.600097992359209e-07
6.926194190647295e-07,3.6568653848067534e-07,6.283322290348784e-07,3.892992553450757e-07,6.244034274635002e-07,3.578348601518618e-07,6.587545603483592e-07,3.920343266027979e-07,7.256886229377083e-07,3.232724600044216e-07,6.244034274635002e-07,3.578348601518618e-07
7.982021578787082e-07,4.1159283933367844e-07,7.58618657892003e-07,4.831113587517551e-07,7.098786807757338e-07,7.499570085258802e-07,9.262669924334474e-07,4.032780799246242e-07,7.785794642736456e-07,5.836698214427015e-07,8.508545459728911e-07,8.272372343513166e-07
2.791187284387952e-06,4.6003768685241595e-07,3.731962038309212e-06,3.96425471471267e-07,3.962928291200952e-06,5.098270006066496e-07,1.7030226127650553e-06,4.449732627979377e-07,3.5892699287245933e-06,4.738338592780603e-07,1.7885818320924084e-06,5.003828472715735e-07
1.0066055155845955e-06,3.8486546335281234e-07,1.288124171669042e-06,3.774462323980304e-07,1.1670647524694922e-06,4.2093964224954626e-07,1.0066055155845955e-06,3.8486546335281234e-07,1.5234722987980063e-06,5.509405114926143e-07,1.1670647524694922e-06,4.2093964224954626e-07
1.562658025462883e-06,6.453802189172066e-07,1.6041524337406134e-06,2.199673330487093e-07,1.6041524337406134e-06,2.199673330487093e-07,1.3247058431314376e-06,7.57843437184017e-07,1.4382165020461042e-06,6.180521857577894e-07,1.6387318422312652e-06,8.596066746789621e-07
8.816480578910451e-07,4.199347636354375e-07,1.0472376905947893e-06,3.378735734485441e-07,7.081507287290486e-07,4.261029503624374e-07,7.233503306032124e-07,5.05071124987022e-07,7.861483785492239e-07,4.283764545140853e-07,7.027027574721563e-07,5.752364338316573e-07
7.467657111990113e-07,3.560310278307785e-07,6.272328004939988e-07,4.0111132469490986e-07,8.743559625789435e-07,5.706574815081842e-07,4.945735394383149e-07,3.3563656948259596e-07,7.316306630808171e-07,5.387307677350438e-07,7.560202093240689e-07,5.941097618799309e-07
7.603657603698501e-07,4.222215657421451e-07,8.410689013365336e-07,4.6195909512630404e-07,8.394377461226087e-07,4.774540677160011e-07,7.603657603698501e-07,4.222215657421451e-07,6.920348991850504e-07,4.786203683215029e-07,9.919987387094374e-07,4.0454170861427305e-07
9.222331581313031e-07,2.7333379073536193e-07,7.768944518154856e-07,3.74443683250102e-07,1.113968957133153e-06,3.525110034579619e-07,7.768944518154856e-07,3.74443683250102e-07,9.654162839879187e-07,3.500036075665789e-07,8.273342377663514e-07,3.506433978012416e-07
1.139687731934057e-06,4.060950407334435e-07,1.3518930236652687e-06,3.8970022287596607e-07,1.0691595379517795e-06,3.544822591053981e-07,1.5594233610492058e-06,4.6070187073534503e-07,1.7580478383926424e-06,3.966763129488407e-07,1.7756422849579412e-06,3.7411375091703625e-07
